participant,day,scale,score
1,77,pos_aff,0
1,77,neg_aff,3
1,78,stress,2
1,78,pos_aff,0
1,78,neg_aff,2.8
1,79,stress,1
1,79,pos_aff,0.2
1,79,neg_aff,2.2
1,80,stress,NA
1,80,pos_aff,NA
1,80,neg_aff,NA
1,81,stress,NA
1,81,pos_aff,NA
1,81,neg_aff,NA
1,82,stress,0
1,82,pos_aff,0.6
1,82,neg_aff,1.4
1,83,stress,1
1,83,pos_aff,0.6
1,83,neg_aff,1.6
1,84,stress,0
1,84,pos_aff,0.4
1,84,neg_aff,1
1,85,stress,1
1,85,pos_aff,0.4
1,85,neg_aff,1.2
1,86,stress,0
1,86,pos_aff,0.8
1,86,neg_aff,1
1,87,stress,0
1,87,pos_aff,0.4
1,87,neg_aff,1
1,88,stress,0
1,88,pos_aff,0.2
1,88,neg_aff,1.4
1,89,stress,1
1,89,pos_aff,0.4
1,89,neg_aff,1.4
1,90,stress,1
1,90,pos_aff,0.6
1,90,neg_aff,1.2
1,91,stress,NA
1,91,pos_aff,NA
1,91,neg_aff,NA
1,92,stress,0
1,92,pos_aff,0.25
1,92,neg_aff,0.25
1,93,stress,NA
1,93,pos_aff,NA
1,93,neg_aff,NA
1,94,stress,NA
1,94,pos_aff,NA
1,94,neg_aff,NA
1,95,stress,NA
1,95,pos_aff,NA
1,95,neg_aff,NA
1,96,stress,NA
1,96,pos_aff,NA
1,96,neg_aff,NA
1,97,stress,NA
1,97,pos_aff,NA
1,97,neg_aff,NA
1,98,stress,NA
1,98,pos_aff,NA
1,98,neg_aff,NA
1,99,stress,1
1,99,pos_aff,0.6
1,99,neg_aff,1.2
1,100,stress,0
1,100,pos_aff,0.4
1,100,neg_aff,0.8
1,101,stress,1
1,101,pos_aff,0.4
1,101,neg_aff,1
2,1,stress,6
2,1,pos_aff,2.6
2,1,neg_aff,1.4
2,2,stress,4
2,2,pos_aff,2.8
2,2,neg_aff,0.4
2,3,stress,2
2,3,pos_aff,3
2,3,neg_aff,0.4
2,4,stress,3
2,4,pos_aff,3
2,4,neg_aff,0.2
2,5,stress,0
2,5,pos_aff,3
2,5,neg_aff,0.2
2,6,stress,0
2,6,pos_aff,3
2,6,neg_aff,0.4
2,7,stress,0
2,7,pos_aff,2.8
2,7,neg_aff,0.4
2,8,stress,0
2,8,pos_aff,3
2,8,neg_aff,0.4
2,9,stress,2
2,9,pos_aff,3
2,9,neg_aff,1.2
2,10,stress,0
2,10,pos_aff,3
2,10,neg_aff,0.6
2,11,stress,0
2,11,pos_aff,3
2,11,neg_aff,0.8
2,12,stress,0
2,12,pos_aff,3
2,12,neg_aff,0.6
2,13,stress,0
2,13,pos_aff,3
2,13,neg_aff,0.6
2,14,stress,0
2,14,pos_aff,2.8
2,14,neg_aff,0.4
2,15,stress,0
2,15,pos_aff,3
2,15,neg_aff,0.6
2,16,stress,0
2,16,pos_aff,2.4
2,16,neg_aff,0.6
2,17,stress,0
2,17,pos_aff,2.6
2,17,neg_aff,0.8
2,18,stress,0
2,18,pos_aff,2.8
2,18,neg_aff,0.6
2,19,stress,0
2,19,pos_aff,2
2,19,neg_aff,0
2,20,stress,0
2,20,pos_aff,2
2,20,neg_aff,0.4
2,21,stress,0
2,21,pos_aff,2
2,21,neg_aff,0.4
2,22,stress,0
2,22,pos_aff,2
2,22,neg_aff,0
2,23,stress,0
2,23,pos_aff,2
2,23,neg_aff,0
2,24,stress,0
2,24,pos_aff,3
2,24,neg_aff,0.2
2,25,stress,0
2,25,pos_aff,3
2,25,neg_aff,0
2,26,stress,0
2,26,pos_aff,3
2,26,neg_aff,0
2,27,stress,0
2,27,pos_aff,2
2,27,neg_aff,0
2,28,stress,0
2,28,pos_aff,2
2,28,neg_aff,0
2,29,stress,0
2,29,pos_aff,2
2,29,neg_aff,0
2,30,stress,0
2,30,pos_aff,2
2,30,neg_aff,0
2,31,stress,0
2,31,pos_aff,3
2,31,neg_aff,0
2,32,stress,0
2,32,pos_aff,2
2,32,neg_aff,0
2,33,stress,0
2,33,pos_aff,2
2,33,neg_aff,0
2,34,stress,0
2,34,pos_aff,2
2,34,neg_aff,0
2,35,stress,0
2,35,pos_aff,2
2,35,neg_aff,0
2,36,stress,0
2,36,pos_aff,2
2,36,neg_aff,0
2,37,stress,0
2,37,pos_aff,2
2,37,neg_aff,0
2,38,stress,0
2,38,pos_aff,2
2,38,neg_aff,0
2,39,stress,0
2,39,pos_aff,2
2,39,neg_aff,0
2,40,stress,0
2,40,pos_aff,2
2,40,neg_aff,0
2,41,stress,0
2,41,pos_aff,2
2,41,neg_aff,0
2,42,stress,0
2,42,pos_aff,2
2,42,neg_aff,0
2,43,stress,0
2,43,pos_aff,2
2,43,neg_aff,0
2,44,stress,0
2,44,pos_aff,2
2,44,neg_aff,0
2,45,stress,0
2,45,pos_aff,2
2,45,neg_aff,0
2,46,stress,0
2,46,pos_aff,2
2,46,neg_aff,0
2,47,stress,0
2,47,pos_aff,2
2,47,neg_aff,0.6
2,48,stress,0
2,48,pos_aff,2
2,48,neg_aff,0.2
2,49,stress,0
2,49,pos_aff,2
2,49,neg_aff,0
2,50,stress,0
2,50,pos_aff,2
2,50,neg_aff,0.6
2,51,stress,0
2,51,pos_aff,2
2,51,neg_aff,0.8
2,52,stress,0
2,52,pos_aff,2
2,52,neg_aff,0.4
2,53,stress,0
2,53,pos_aff,2
2,53,neg_aff,0.6
2,54,stress,0
2,54,pos_aff,2
2,54,neg_aff,0.2
2,55,stress,0
2,55,pos_aff,2
2,55,neg_aff,0
2,56,stress,0
2,56,pos_aff,2
2,56,neg_aff,0
2,57,stress,0
2,57,pos_aff,2
2,57,neg_aff,0
2,58,stress,0
2,58,pos_aff,2
2,58,neg_aff,0
2,59,stress,0
2,59,pos_aff,2
2,59,neg_aff,0
2,60,stress,0
2,60,pos_aff,2
2,60,neg_aff,0
2,61,stress,0
2,61,pos_aff,2
2,61,neg_aff,0
2,62,stress,0
2,62,pos_aff,2
2,62,neg_aff,0
2,63,stress,0
2,63,pos_aff,2
2,63,neg_aff,0
2,64,stress,0
2,64,pos_aff,2
2,64,neg_aff,0
2,65,stress,0
2,65,pos_aff,2
2,65,neg_aff,0
2,66,stress,0
2,66,pos_aff,2
2,66,neg_aff,0
2,67,stress,0
2,67,pos_aff,2
2,67,neg_aff,0
2,68,stress,0
2,68,pos_aff,2
2,68,neg_aff,0.4
2,69,stress,0
2,69,pos_aff,2
2,69,neg_aff,0
2,70,stress,0
2,70,pos_aff,2
2,70,neg_aff,0
2,71,stress,0
2,71,pos_aff,2
2,71,neg_aff,0
2,72,stress,0
2,72,pos_aff,2
2,72,neg_aff,0
2,73,stress,0
2,73,pos_aff,1.6
2,73,neg_aff,0
2,74,stress,0
2,74,pos_aff,1.6
2,74,neg_aff,0
2,75,stress,0
2,75,pos_aff,2
2,75,neg_aff,0
2,76,stress,0
2,76,pos_aff,2
2,76,neg_aff,0
2,77,stress,0
2,77,pos_aff,2
2,77,neg_aff,0
2,78,stress,0
2,78,pos_aff,2
2,78,neg_aff,0
2,79,stress,0
2,79,pos_aff,2
2,79,neg_aff,0
2,80,stress,0
2,80,pos_aff,2
2,80,neg_aff,0
2,81,stress,0
2,81,pos_aff,2
2,81,neg_aff,0
2,82,stress,0
2,82,pos_aff,2
2,82,neg_aff,0
2,83,stress,0
2,83,pos_aff,2
2,83,neg_aff,0
2,84,stress,0
2,84,pos_aff,2
2,84,neg_aff,0
2,85,stress,0
2,85,pos_aff,2
2,85,neg_aff,0
2,86,stress,0
2,86,pos_aff,2
2,86,neg_aff,0
2,87,stress,0
2,87,pos_aff,2
2,87,neg_aff,0
2,88,stress,0
2,88,pos_aff,2
2,88,neg_aff,0
2,89,stress,0
2,89,pos_aff,2
2,89,neg_aff,0
2,90,stress,0
2,90,pos_aff,2
2,90,neg_aff,0
2,91,stress,0
2,91,pos_aff,2
2,91,neg_aff,0
2,92,stress,0
2,92,pos_aff,2
2,92,neg_aff,0
2,93,stress,0
2,93,pos_aff,2
2,93,neg_aff,0
2,94,stress,0
2,94,pos_aff,2
2,94,neg_aff,0
2,95,stress,0
2,95,pos_aff,2
2,95,neg_aff,0
2,96,stress,0
2,96,pos_aff,2
2,96,neg_aff,0
2,97,stress,0
2,97,pos_aff,2
2,97,neg_aff,0
2,98,stress,0
2,98,pos_aff,2
2,98,neg_aff,0
2,99,stress,0
2,99,pos_aff,2
2,99,neg_aff,0
2,100,stress,0
2,100,pos_aff,2
2,100,neg_aff,0
2,101,stress,0
2,101,pos_aff,2
2,101,neg_aff,0
3,1,stress,0
3,1,pos_aff,2
3,1,neg_aff,1
3,2,stress,0
3,2,pos_aff,2.4
3,2,neg_aff,0.8
3,3,stress,2
3,3,pos_aff,1.8
3,3,neg_aff,1.6
3,4,stress,0
3,4,pos_aff,1.8
3,4,neg_aff,0.2
3,5,stress,0
3,5,pos_aff,1.2
3,5,neg_aff,0
3,6,stress,0
3,6,pos_aff,1.4
3,6,neg_aff,0.25
3,7,stress,2
3,7,pos_aff,1.8
3,7,neg_aff,0.8
3,8,stress,0
3,8,pos_aff,1.8
3,8,neg_aff,0.4
3,9,stress,0
3,9,pos_aff,1.4
3,9,neg_aff,0
3,10,stress,0
3,10,pos_aff,2.4
3,10,neg_aff,0
3,11,stress,0
3,11,pos_aff,1.4
3,11,neg_aff,0
3,12,stress,0
3,12,pos_aff,2.8
3,12,neg_aff,0.4
3,13,stress,NA
3,13,pos_aff,NA
3,13,neg_aff,NA
3,14,stress,0
3,14,pos_aff,2
3,14,neg_aff,0
3,15,stress,0
3,15,pos_aff,1.8
3,15,neg_aff,0.2
3,16,stress,0
3,16,pos_aff,1.6
3,16,neg_aff,0
3,17,stress,0
3,17,pos_aff,1.8
3,17,neg_aff,0
3,18,stress,0
3,18,pos_aff,2.4
3,18,neg_aff,0
3,19,stress,0
3,19,pos_aff,3.8
3,19,neg_aff,0
3,20,stress,0
3,20,pos_aff,0.6
3,20,neg_aff,0
3,21,stress,0
3,21,pos_aff,1.2
3,21,neg_aff,0
3,22,stress,0
3,22,pos_aff,1
3,22,neg_aff,0
3,23,stress,0
3,23,pos_aff,2
3,23,neg_aff,0
3,24,stress,0
3,24,pos_aff,1.4
3,24,neg_aff,0
3,25,stress,0
3,25,pos_aff,0.8
3,25,neg_aff,0
3,26,stress,NA
3,26,pos_aff,NA
3,26,neg_aff,NA
3,27,stress,0
3,27,pos_aff,0.2
3,27,neg_aff,0
3,28,stress,0
3,28,pos_aff,0.8
3,28,neg_aff,0
3,29,stress,0
3,29,pos_aff,1
3,29,neg_aff,0
3,30,stress,0
3,30,pos_aff,0.8
3,30,neg_aff,0.6
3,31,stress,0
3,31,pos_aff,2.2
3,31,neg_aff,0.4
3,32,stress,0
3,32,pos_aff,1.8
3,32,neg_aff,0
3,33,stress,0
3,33,pos_aff,2.4
3,33,neg_aff,0.2
3,34,stress,0
3,34,pos_aff,0.6
3,34,neg_aff,0
3,35,stress,0
3,35,pos_aff,0
3,35,neg_aff,0
3,36,stress,0
3,36,pos_aff,0.5
3,36,neg_aff,0.4
3,37,stress,0
3,37,pos_aff,1.2
3,37,neg_aff,0
3,38,stress,0
3,38,pos_aff,2.6
3,38,neg_aff,0
3,39,stress,NA
3,39,pos_aff,NA
3,39,neg_aff,NA
3,40,stress,0
3,40,pos_aff,1.6
3,40,neg_aff,0
3,41,stress,0
3,41,pos_aff,0.8
3,41,neg_aff,0
3,42,stress,0
3,42,pos_aff,0.6
3,42,neg_aff,0
3,43,stress,0
3,43,pos_aff,3.2
3,43,neg_aff,0
3,44,stress,0
3,44,pos_aff,0.4
3,44,neg_aff,0
3,45,stress,0
3,45,pos_aff,2
3,45,neg_aff,0
3,46,stress,1
3,46,pos_aff,2.8
3,46,neg_aff,0.2
3,47,stress,0
3,47,pos_aff,1.2
3,47,neg_aff,0
3,48,stress,0
3,48,pos_aff,0
3,48,neg_aff,0
3,49,stress,0
3,49,pos_aff,1.8
3,49,neg_aff,0
3,50,stress,NA
3,50,pos_aff,NA
3,50,neg_aff,NA
3,51,stress,NA
3,51,pos_aff,NA
3,51,neg_aff,NA
3,52,stress,NA
3,52,pos_aff,NA
3,52,neg_aff,NA
3,53,stress,NA
3,53,pos_aff,NA
3,53,neg_aff,NA
3,54,stress,0
3,54,pos_aff,2.4
3,54,neg_aff,0
3,55,stress,0
3,55,pos_aff,1.2
3,55,neg_aff,0
3,56,stress,0
3,56,pos_aff,0.6
3,56,neg_aff,0
3,57,stress,1
3,57,pos_aff,2
3,57,neg_aff,0.4
3,58,stress,1
3,58,pos_aff,2.6
3,58,neg_aff,0.2
3,59,stress,0
3,59,pos_aff,1.4
3,59,neg_aff,0
3,60,stress,0
3,60,pos_aff,2.8
3,60,neg_aff,0
3,61,stress,2
3,61,pos_aff,1.6
3,61,neg_aff,0.4
3,62,stress,0
3,62,pos_aff,0.6
3,62,neg_aff,0
3,63,stress,0
3,63,pos_aff,0
3,63,neg_aff,0
3,64,stress,0
3,64,pos_aff,1
3,64,neg_aff,0
3,65,stress,0
3,65,pos_aff,2.4
3,65,neg_aff,0
3,66,stress,0
3,66,pos_aff,3.2
3,66,neg_aff,0
3,67,stress,0
3,67,pos_aff,2.4
3,67,neg_aff,0
3,68,stress,0
3,68,pos_aff,2.4
3,68,neg_aff,0
3,69,stress,0
3,69,pos_aff,0.6
3,69,neg_aff,0
3,70,stress,0
3,70,pos_aff,0.6
3,70,neg_aff,0
3,71,stress,0
3,71,pos_aff,0
3,71,neg_aff,0
3,72,stress,0
3,72,pos_aff,0
3,72,neg_aff,0
3,73,stress,0
3,73,pos_aff,1
3,73,neg_aff,0
3,74,stress,1
3,74,pos_aff,2.2
3,74,neg_aff,0.2
3,75,stress,0
3,75,pos_aff,3.2
3,75,neg_aff,0
3,76,stress,0
3,76,pos_aff,2.8
3,76,neg_aff,0
3,77,stress,0
3,77,pos_aff,1
3,77,neg_aff,0
3,78,stress,0
3,78,pos_aff,2.6
3,78,neg_aff,0
3,79,stress,0
3,79,pos_aff,3.2
3,79,neg_aff,0
3,80,stress,0
3,80,pos_aff,0.8
3,80,neg_aff,0
3,81,stress,NA
3,81,pos_aff,NA
3,81,neg_aff,NA
3,82,stress,1
3,82,pos_aff,2.2
3,82,neg_aff,0
3,83,stress,NA
3,83,pos_aff,NA
3,83,neg_aff,NA
3,84,stress,0
3,84,pos_aff,0
3,84,neg_aff,0
3,85,stress,0
3,85,pos_aff,2
3,85,neg_aff,0
3,86,stress,NA
3,86,pos_aff,NA
3,86,neg_aff,NA
3,87,stress,0
3,87,pos_aff,1.2
3,87,neg_aff,0
3,88,stress,0
3,88,pos_aff,2.2
3,88,neg_aff,0
3,89,stress,0
3,89,pos_aff,1.2
3,89,neg_aff,0
3,90,stress,NA
3,90,pos_aff,NA
3,90,neg_aff,NA
3,91,stress,0
3,91,pos_aff,0
3,91,neg_aff,0
3,92,stress,0
3,92,pos_aff,3
3,92,neg_aff,0
3,93,stress,0
3,93,pos_aff,3
3,93,neg_aff,0
3,94,stress,0
3,94,pos_aff,1.2
3,94,neg_aff,0
3,95,stress,0
3,95,pos_aff,2.4
3,95,neg_aff,0
3,96,stress,NA
3,96,pos_aff,NA
3,96,neg_aff,NA
3,97,stress,0
3,97,pos_aff,0.2
3,97,neg_aff,0
3,98,stress,0
3,98,pos_aff,2.8
3,98,neg_aff,0.4
3,99,stress,0
3,99,pos_aff,3
3,99,neg_aff,0.8
3,100,stress,0
3,100,pos_aff,2.6
3,100,neg_aff,0
3,101,stress,0
3,101,pos_aff,1.2
3,101,neg_aff,0
4,1,stress,3
4,1,pos_aff,1.4
4,1,neg_aff,2
4,2,stress,3
4,2,pos_aff,3.6
4,2,neg_aff,1.6
4,3,stress,0
4,3,pos_aff,3.8
4,3,neg_aff,1.8
4,4,stress,4
4,4,pos_aff,3.4
4,4,neg_aff,2.4
4,5,stress,4
4,5,pos_aff,3
4,5,neg_aff,0.4
4,6,stress,3
4,6,pos_aff,4
4,6,neg_aff,0.4
4,7,stress,1
4,7,pos_aff,3.8
4,7,neg_aff,1.4
4,8,stress,0
4,8,pos_aff,3.5
4,8,neg_aff,0.6
4,9,stress,1
4,9,pos_aff,3.8
4,9,neg_aff,0.6
4,10,stress,3
4,10,pos_aff,3.4
4,10,neg_aff,0.2
4,11,stress,6
4,11,pos_aff,4
4,11,neg_aff,2.2
4,12,stress,0
4,12,pos_aff,4
4,12,neg_aff,0.2
4,13,stress,0
4,13,pos_aff,3.2
4,13,neg_aff,0
4,14,stress,2
4,14,pos_aff,3
4,14,neg_aff,0
4,15,stress,0
4,15,pos_aff,4
4,15,neg_aff,0
4,16,stress,0
4,16,pos_aff,3.4
4,16,neg_aff,0
4,17,stress,3
4,17,pos_aff,3.6
4,17,neg_aff,1.8
4,18,stress,2
4,18,pos_aff,2.8
4,18,neg_aff,0
4,19,stress,0
4,19,pos_aff,3.2
4,19,neg_aff,0.2
4,20,stress,0
4,20,pos_aff,3.6
4,20,neg_aff,0.2
4,21,stress,2
4,21,pos_aff,2.8
4,21,neg_aff,0.6
4,22,stress,NA
4,22,pos_aff,NA
4,22,neg_aff,NA
4,23,stress,0
4,23,pos_aff,3.2
4,23,neg_aff,0.4
4,24,stress,1
4,24,pos_aff,3.2
4,24,neg_aff,0.4
4,25,stress,1
4,25,pos_aff,3.4
4,25,neg_aff,0
4,26,stress,0
4,26,pos_aff,3.4
4,26,neg_aff,0
4,27,stress,1
4,27,pos_aff,NA
4,27,neg_aff,NA
4,28,stress,0
4,28,pos_aff,3.4
4,28,neg_aff,0.4
4,29,stress,3
4,29,pos_aff,3.4
4,29,neg_aff,0
4,30,stress,NA
4,30,pos_aff,NA
4,30,neg_aff,NA
4,31,stress,1
4,31,pos_aff,3.4
4,31,neg_aff,0
4,32,stress,1
4,32,pos_aff,4
4,32,neg_aff,0
4,33,stress,1
4,33,pos_aff,3.6
4,33,neg_aff,0
4,34,stress,NA
4,34,pos_aff,NA
4,34,neg_aff,NA
4,35,stress,0
4,35,pos_aff,3.4
4,35,neg_aff,0.2
4,36,stress,1
4,36,pos_aff,3.8
4,36,neg_aff,0
4,37,stress,4
